Municipi;Codi;Altitud (m);Superfície (km²);Població
Madremanya;170979;177;13,72;288
Maià de Montcal;170985;241;17,29;488
Maials;251333;395;57,08;916
Maldà;251305;428;31,36;239
Malgrat de Mar;081108;4;8,82;19270
Malla;081115;580;11,01;274
Manlleu;081120;461;17,17;21291
Manresa;081136;238;41,64;79737
Marçà;430764;315;16,06;599
Margalef;430751;379;34,66;108
Marganell;082423;291;13,53;310
Martorell;081141;56;12,76;28483
Martorelles;081154;96;3,61;4984
Mas de Barberans;430770;348;78,80;546
Masarac i Vilarnadal;171002;85;12,55;296
Masdenverge;430786;54;14,61;1149
Masies de Roda, les;081167;468;16,46;749
Masies de Voltregà, les;081173;533;22,35;3292
Masllorenç;430799;304;6,55;567
Masnou, el;081189;27;3,39;24444
Masó, la;430803;115;3,57;288
Maspujols;430810;214;3,66;893
Masquefa;081192;257;17,06;10020
Masroig, el;430825;192;15,51;480
Massalcoreig;251312;94;14,14;576
Massanes;171019;164;26,07;843
Massoteres;251327;502;26,11;212
Matadepera;081206;423;25,36;9863
Mataró;081213;28;22,53;130887
Mediona;081228;430;47,55;2632
Menàrguens;251348;205;20,25;793
Meranges;170998;1539;37,34;111
Mieres;171058;286;26,29;348
Milà, el;430831;166;4,13;197
Miralcamp;251351;287;14,87;1389
Miravet;430846;43;32,33;683
Moià;081385;717;75,31;6715
Molar, el;430859;228;22,81;308
Molins de Rei;081234;37;15,94;26930
Mollerussa;251370;250;7,08;15680
Mollet de Peralada;171061;59;6,04;215
Mollet del Vallès;081249;65;10,77;52045
Molló;171077;1182;43,09;373
Molsosa, la;251364;667;26,89;105
Monistrol de Calders;081287;447;21,97;762
Monistrol de Montserrat;081271;161;11,77;3188
Montagut i Oix;171096;276;93,70;1002
Montblanc;430862;350;91,07;7539
Montbrió del Camp;430884;132;10,70;3137
Montcada i Reixac;081252;36;23,47;37096
Montclar;081304;728;21,89;132
Montellà i Martinet;251399;967;54,95;619
Montesquiu;081311;577;4,94;1095
Montferrer i Castellbò;251403;732;176,66;1163
Montferri;430897;229;19,15;473
Montgai;251386;286;28,94;640
Montgat;081265;20;2,91;12646
Montmajor;081326;756;76,49;474
Montmaneu;081332;709;13,62;200
Montmell, el;430901;429;72,80;1916
Montmeló;081350;72;4,00;8887
Montoliu de Lleida;251425;166;7,34;477
Montoliu de Segarra;251410;689;29,47;181
Montornès de Segarra;251431;605;12,32;88
Montornès del Vallès;081363;116;10,23;17039
Mont-ral;430918;888;34,72;185
Mont-ras;171100;88;12,31;1691
Mont-roig del Camp;430923;120;63,32;14185
Montseny;081379;528;26,77;379
Móra d'Ebre;430939;38;45,12;5739
Móra la Nova;430944;31;15,93;3309
Morell, el;430957;104;5,94;3851
Morera de Montsant, la;430960;743;52,88;144
Muntanyola;081290;807;40,30;712
Mura;081398;454;47,79;232
Nalec;251459;487;9,25;89
Naut Aran;250254;1267;255,75;1896
Navarcles;081402;269;5,52;6158
Navàs;081419;370;80,62;6183
Navata;171117;145;18,48;1466
Navès;251462;610;145,27;302
Nou de Berguedà, la;081424;876;25,01;163
Nou de Gaià, la;430976;93;4,32;611
Nulles;430982;231;10,61;557
Odèn;251484;1130;114,38;231
Òdena;081430;421;52,66;3695
Ogassa;171122;951;45,22;218
Olèrdola;081458;189;30,15;3938
Olesa de Bonesvalls;081461;265;30,79;2092
Olesa de Montserrat;081477;124;16,63;24703
Oliana;251497;469;32,37;1828
Oliola;251500;452;86,28;195
Olius;251517;742;54,84;1003
Olivella;081483;211;38,75;4452
Olost;081496;572;29,37;1213
Olot;171143;443;29,03;38836
Oluges, les;251522;528;18,95;165
Olvan;081445;553;35,58;910
